name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
New Santosh Dhaba,M.G. Road,Casual Dining,3.2,9 votes,5 reviews,https://www.zomato.com/hyderabad/new-santosh-dhaba-mg-road-secunderabad,75,"North Indian, Chinese",₹400,12 Noon to 12 Midnight (Mon-Sun),,,,,,,
Firdous Haleem,Tolichowki,Quick Bites,3.1,10 votes,7 reviews,https://www.zomato.com/hyderabad/firdous-haleem-tolichowki,75,Hyderabadi,₹150,2 PM to 11 PM (Mon-Sun),,,,,,,
Saffron - Taj Tristar,"Taj Tristar, S D Road, Secunderabad",Casual Dining,3.0,11 votes,1 Review,https://www.zomato.com/hyderabad/saffron-taj-tristar-sd-road-secunderabad,75,"North Indian, Continental, Chinese","₹1,000",12 Noon to 11 PM (Mon-Sun),,,,,,,
Taj Bakery,Tarnaka,Dessert ParlorBakery,3.2,18 votes,6 reviews,https://www.zomato.com/hyderabad/taj-bakery-1-tarnaka,75,"Bakery, Desserts, Fast Food",₹300,8:30 AM to 10:30 PM (Mon-Sun),,,,,,,
Prem Veg Restaurant,Abids,Casual Dining,3.1,14 votes,7 reviews,https://www.zomato.com/hyderabad/prem-veg-restaurant-abids,75,"North Indian, Street Food",₹650,10:30 AM to 11:30 PM (Mon-Sun),,,,,,,
Abhiruchi Swaghruha Foods,Yousufguda,Quick BitesSweet Shop,3.0,4 votes,3 reviews,https://www.zomato.com/hyderabad/abhiruchi-swaghruha-foods-yousufguda,75,"Mithai, South Indian",₹200,8:30 AM to 10 PM (Mon-Sun),,,,,,,
New Green Bawarchi,Saroor Nagar,Casual Dining,2.8,13 votes,6 reviews,https://www.zomato.com/hyderabad/new-green-bawarchi-saroor-nagar,75,"North Indian, Biryani",₹450,5:30 AM to 11:30 PM (Mon-Sun),,,,,,,
New Nice Bawarchi,Habsiguda,Casual Dining,2.9,15 votes,8 reviews,https://www.zomato.com/hyderabad/new-nice-bawarchi-habsiguda,75,"North Indian, Chinese, Biryani",₹600,11 AM to 12 Midnight (Mon-Sun),,,,,,,
Al-Baik Shawarma,Mehdipatnam,Quick Bites,3.2,9 votes,4 reviews,https://www.zomato.com/hyderabad/al-baik-shawarma-mehdipatnam,75,Arabian,₹150,11 AM to 10 PM (Mon-Sun),,,,,,,
Rani Rudrambha's Court - ITC Kakatiya,"ITC Kakatiya, Begumpet",CaféDessert Parlor,3.4,17 votes,3 reviews,https://www.zomato.com/hyderabad/rani-rudrambhas-court-itc-kakatiya-begumpet,75,"Cafe, Desserts","₹1,500",11 AM to 11:45 PM (Mon-Sun),,,,,,,
Bar One,Medchal Road,Bar,3.0,14 votes,7 reviews,https://www.zomato.com/hyderabad/bar-one-medchal-road,75,"North Indian, Chinese",₹950,11 AM to 11 PM (Mon-Sun),,,,,,,
Maaunt Paradise Restaurant & Bar,Paradise Circle,Casual Dining,3.3,15 votes,4 reviews,https://www.zomato.com/hyderabad/maaunt-paradise-restaurant-bar-paradise-circle-secunderabad,75,"North Indian, Chinese, Biryani",₹700,11 AM to 10:30 PM (Mon-Sun),,,,,,,
